member_id,kind,level,quantity,location,calc_method,section_or_size,span_or_length,design_load,notes
PF-07,pad_footing,foundation/lateral,1,Reinforced pad under P-07,pad_bearing,"[1.0, 1.0, 0.45]",,70,
PF-08,pad_footing,foundation/lateral,1,Reinforced pad under P-08,pad_bearing,"[1.0, 1.0, 0.45]",,85,
PF-09,pad_footing,foundation/lateral,1,Reinforced pad under P-09,pad_bearing,"[1.0, 1.0, 0.45]",,85,
SF-S,strip_footing,foundation/lateral,1,South strip footing,strip_bearing,width 0.6,12,48,
SF-N,strip_footing,foundation/lateral,1,North strip footing,strip_bearing,width 0.6,12,48,
SF-W,strip_footing,foundation/lateral,1,West strip footing,strip_bearing,width 0.6,10,44,
SF-E,strip_footing,foundation/lateral,1,East strip footing,strip_bearing,width 0.6,10,44,
BW-S,shear_wall,foundation/lateral,1,OSB sheathed braced wall line BW-S,shear_wall,width ,4.8,,
BW-N,shear_wall,foundation/lateral,1,OSB sheathed braced wall line BW-N,shear_wall,width ,4.8,,
BW-W,shear_wall,foundation/lateral,1,OSB sheathed braced wall line BW-W,shear_wall,width ,4.0,,
BW-E,shear_wall,foundation/lateral,1,OSB sheathed braced wall line BW-E,shear_wall,width ,4.0,,
BW-CORE,shear_wall,foundation/lateral,1,OSB sheathed braced wall line BW-CORE,shear_wall,width ,5.0,,
HD-SW,hold_down,foundation/lateral,2,Hold-down pair at south/west braced wall,connector_tension,width ,,28,
HD-SE,hold_down,foundation/lateral,2,Hold-down pair at south/east braced wall,connector_tension,width ,,28,
HD-NW,hold_down,foundation/lateral,2,Hold-down pair at north/west braced wall,connector_tension,width ,,28,
HD-NE,hold_down,foundation/lateral,2,Hold-down pair at north/east braced wall,connector_tension,width ,,28,
HD-CORE,hold_down,foundation/lateral,2,Hold-downs at stair core,connector_tension,width ,,32,
RD-01,roof_diaphragm,foundation/lateral,1,Roof diaphragm collector to braced wall lines,diaphragm_shear,width ,,54,
